id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
684,9b7d6a5b-32fb-4446-8993-43911b0613e6,bmw,530,BMW 530530d xDrive Touring Aut.,,10500.0,228000,Diesel,08-2011,190 kW (258 PS),,Privat,"Particuliers,LU-5440 LONGWY",2025-10-17T04:33:54.207863,1760675634,1,2025-07-04 21:25:45,2025-10-17 04:33:57
685,3dfc21e7-0024-460c-8684-a4fb8df09a34,bmw,530,BMW 530530d Aut.,,34000.0,123000,Diesel,05-2018,195 kW (265 PS),,Privat,"Particuliers,LU-8052 Bascharage",2025-10-17T04:33:54.207417,1760675634,1,2025-07-04 21:25:45,2025-10-17 04:33:57
690,07c51de5-c7f8-4e49-a66a-e6a1f1e3fa7b,bmw,530,BMW 530530i Touring Aut. M Sport Edition,,32000.0,97000,Benzin,12-2020,185 kW (252 PS),,Privat,"Particuliers,LU-4709 rodange",2025-10-17T04:33:54.208298,1760675634,1,2025-07-04 21:25:45,2025-10-17 04:33:57
893,64e18116-5e6b-4b38-b2df-e43e51ae8b8e,bmw,530,BMW 530530 d xDrive Luxury Line,,40700.0,53000,Diesel,11-2020,210 kW (286 PS),,Privat,"Particuliers,LU-6555 Bollendorf-Pont",2025-10-17T04:33:54.208750,1760675634,1,2025-07-14 04:51:52,2025-10-17 04:33:57
1247,d1fcb8e9-183b-49f9-9dee-2e0bfac4c3f4,bmw,530,BMW 530530i xDrive 252 ch BVA8 Business Design,,18900.0,154000,Benzin,01-2020,185 kW (252 PS),,Privat,"Particuliers,LU-1248 Luxembourg",2025-10-17T04:33:54.208974,1760675634,1,2025-08-04 05:05:29,2025-10-17 04:33:57
1352,08bb5773-9b06-4ed1-89ee-f6cdd67ecf4c,bmw,530,BMW 530530E IPERFORMANCE 252CV PACK M,,29990.0,57000,2,04-2019,185 kW (252 PS),,Händler,My Nova CarsÉvaluation par étoiles 5 sur 5(1),2025-10-17T04:33:54.206276,1760675634,1,2025-08-12 04:38:20,2025-10-17 04:33:57
1366,0f57595f-eac2-4252-a093-6272511c090b,bmw,530,BMW 530530i xDrive Aut. M Sport Line,,29950.0,112500,Benzin,02-2018,185 kW (252 PS),,Privat,"Particuliers,LU-1543 Luxembourg",2025-10-17T04:33:54.206525,1760675634,1,2025-08-13 04:39:59,2025-10-17 04:33:57
1381,eeb3c82b-796f-4ef3-9088-59e3101184c3,bmw,530,BMW 530530xi Touring Aut.,,6490.0,270000,Benzin,02-2007,190 kW (258 PS),,Privat,"Particuliers,LU-2518 Luxembourg",2025-10-17T04:33:54.206744,1760675634,1,2025-08-14 04:40:24,2025-10-17 04:33:57
1626,a4810c46-991f-421e-8917-e3a284aae2af,bmw,530,BMW 530530d xDrive Touring Aut. Luxury Line,,17000.0,183000,Diesel,10-2014,190 kW (258 PS),,Privat,"Particuliers,LU-1947 Luxembourg",2025-10-17T04:33:54.207181,1760675634,1,2025-09-03 04:32:08,2025-10-17 04:33:57
1838,a2901ee6-0cfa-43ec-9205-7db251e0becd,bmw,530,BMW 530530d Touring M Aut.,,24000.0,140300,Diesel,07-2018,195 kW (265 PS),,Privat,"Particuliers,LU-5424 Gostingen",2025-10-17T04:33:54.206964,1760675634,1,2025-09-24 04:32:26,2025-10-17 04:33:57
1876,39b3f79b-5a05-42b2-ad14-c12089d9ba87,bmw,530,BMW 530530d Aut.,,9000.0,350000,Diesel,01-2011,180 kW (245 PS),,Privat,"Particuliers,LU-8814 bignoville",2025-10-17T04:33:54.209193,1760675634,1,2025-09-25 04:32:43,2025-10-17 04:33:57
2058,46ba1d24-8d95-4882-bd3f-73e496bb5463,bmw,530,BMW 530530iA Touring 2.0 252cv Auto xDrive M-SPORT,,47870.0,63000,Benzin,03-2022,185 kW (252 PS),,Händler,Occasiounsmaart,2025-10-17T04:33:54.208081,1760675634,1,2025-10-07 04:32:52,2025-10-17 04:33:57
2104,09877702-f078-48a4-83b6-1403c31f3c98,bmw,530,BMW 530530e iPerformance Aut. Luxury Line,,28500.0,148000,2,07-2017,135 kW (184 PS),,Privat,"Particuliers,LU-5331 Moutfort",2025-10-17T04:33:54.208533,1760675634,1,2025-10-10 04:33:09,2025-10-17 04:33:57
2133,5ea25447-5f70-4c0c-9077-2af65d932e06,bmw,530,BMW 530530e xDrive Aut. M Sport Edition,,36900.0,67000,2,10-2021,215 kW (292 PS),,Privat,"Particuliers,LU-8220 Mamer",2025-10-17T04:33:54.207641,1760675634,1,2025-10-12 04:31:26,2025-10-17 04:33:57
2179,5f10f9bb-34cd-4edf-86dd-bad1a0fac942,bmw,530,BMW 530D XDRIVE TOURING M SPORT PAKET,,28900.0,66900,Diesel,08-2018,195 kW (265 PS),,Händler,Garage PEREIRA Guillaume S.A.Évaluation par étoiles 4.5 sur 5(8),2025-10-17T04:33:54.205380,1760675634,1,2025-10-14 04:33:26,2025-10-17 04:33:57
2228,883c52fb-a64b-4194-8144-bb21a6e354b8,bmw,530,BMW 530530d Aut. M Sport Edition,,41000.0,88858,Diesel,12-2020,210 kW (286 PS),,Privat,"Particuliers,LU-3593 Dudelange",2025-10-17T04:33:54.205771,1760675634,1,2025-10-17 04:33:57,2025-10-17 04:33:57
2229,75d3e676-0e24-4e9d-be6b-726adc940327,bmw,530,BMW 530530i Automatic Head-Up Heated seat,,6800.0,241000,Benzin,07-2004,170 kW (231 PS),,Privat,"Particuliers,LU-1111 Luxembourg",2025-10-17T04:33:54.206050,1760675634,1,2025-10-17 04:33:57,2025-10-17 04:33:57
