id,listing_id,make,model,title,price_old,price_new,price_difference,price_change_percent,change_type,change_date,change_timestamp,last_seen,created_at
858,aeb423da-6298-40ec-8c0b-eb6888c97dfa,bmw,x1,BMW X1sDrive18i,13999.0,12500.0,-1499.0,-10.707907707693407,PREIS_GESUNKEN,2025-11-07T04:34:19.053634,1762490059,2025-11-06T04:36:48.187863,2025-11-07 04:34:19
848,bef6f8b2-3d0b-4141-9d2a-46aa3f6615a5,bmw,x1,BMW X125D XDRIVE X-LINE AUTO,18900.0,17900.0,-1000.0,-5.291005291005291,PREIS_GESUNKEN,2025-11-05T04:34:53.079980,1762317293,2025-11-04T04:33:49.276103,2025-11-05 04:34:53
819,95d75775-f6c0-49ea-866e-ca6e4908f0a0,bmw,x1,BMW X1X1 xDrive18d Aut. Sport Line,19000.0,18700.0,-300.0,-1.5789473684210527,PREIS_GESUNKEN,2025-11-01T04:31:31.140877,1761971491,2025-10-31T04:34:27.881564,2025-11-01 04:31:31
810,e465ad1f-aacf-4662-a4c3-83d807646556,bmw,x1,BMW X120d sDrive M Sport*AHK,46990.0,45990.0,-1000.0,-2.128112364332837,PREIS_GESUNKEN,2025-10-29T04:36:55.454029,1761712615,2025-10-28T04:34:21.231986,2025-10-29 04:36:55
801,95d75775-f6c0-49ea-866e-ca6e4908f0a0,bmw,x1,BMW X1X1 xDrive18d Aut. Sport Line,19500.0,19000.0,-500.0,-2.564102564102564,PREIS_GESUNKEN,2025-10-27T04:39:45.826085,1761539985,2025-10-26T04:32:17.680532,2025-10-27 04:39:45
775,75b38b97-3e68-44ab-9d3f-c819f4140a48,bmw,x1,BMW X1xDrive20i Aut. M Sport,29000.0,28000.0,-1000.0,-3.4482758620689653,PREIS_GESUNKEN,2025-10-23T04:33:40.259844,1761194020,2025-10-22T04:34:19.208909,2025-10-23 04:33:40
768,95d75775-f6c0-49ea-866e-ca6e4908f0a0,bmw,x1,BMW X1X1 xDrive18d Aut. Sport Line,19900.0,19500.0,-400.0,-2.0100502512562812,PREIS_GESUNKEN,2025-10-22T04:34:30.971679,1761107670,2025-10-21T04:33:45.957668,2025-10-22 04:34:30
729,d8c4d992-9d35-41aa-861e-e962a477eadd,bmw,x1,BMW X1sDrive18d Aut. xLine,16200.0,15900.0,-300.0,-1.8518518518518516,PREIS_GESUNKEN,2025-10-17T04:34:15.681992,1760675655,2025-10-16T04:33:32.193075,2025-10-17 04:34:15
730,80617d43-0dd5-475d-82a6-b3aeb0f39de8,bmw,x1,BMW X1X1,49900.0,47900.0,-2000.0,-4.008016032064128,PREIS_GESUNKEN,2025-10-17T04:34:15.684200,1760675655,2025-10-16T04:33:40.849019,2025-10-17 04:34:15
700,d8c4d992-9d35-41aa-861e-e962a477eadd,bmw,x1,BMW X1sDrive18d Aut. xLine,16500.0,16200.0,-300.0,-1.8181818181818181,PREIS_GESUNKEN,2025-10-15T04:34:04.952975,1760502844,2025-10-14T04:33:33.832922,2025-10-15 04:34:04
676,95d75775-f6c0-49ea-866e-ca6e4908f0a0,bmw,x1,BMW X1X1 xDrive18d Aut. Sport Line,20500.0,19900.0,-600.0,-2.9268292682926833,PREIS_GESUNKEN,2025-10-12T04:31:47.996379,1760243507,2025-10-11T04:31:07.417966,2025-10-12 04:31:47
672,75b38b97-3e68-44ab-9d3f-c819f4140a48,bmw,x1,BMW X1xDrive20i Aut. M Sport,29900.0,29000.0,-900.0,-3.0100334448160537,PREIS_GESUNKEN,2025-10-11T04:31:22.271646,1760157082,2025-10-10T04:33:20.661573,2025-10-11 04:31:22
655,dd36330d-d29e-4837-a646-5cb693bfd520,bmw,x1,BMW X1sDrive20d xDrive M Sport,52150.0,51600.0,-550.0,-1.0546500479386385,PREIS_GESUNKEN,2025-10-09T04:33:37.483823,1759984417,2025-10-08T04:33:16.765386,2025-10-09 04:33:37
634,e465ad1f-aacf-4662-a4c3-83d807646556,bmw,x1,BMW X120d sDrive M Sport*AHK,47990.0,46990.0,-1000.0,-2.083767451552407,PREIS_GESUNKEN,2025-10-07T04:33:13.606375,1759811593,2025-10-06T04:32:29.810128,2025-10-07 04:33:13
