id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
2900,cf5e4a69-057a-47f1-a24c-181c29044d45,mercedes-benz,a-200,Mercedes-Benz A 200AMG LINE - JUSQU'A 48 MOIS DE GARANTIE,,23900.0,89000,Benzin,07-2018,,,Händler,,2026-06-10T08:12:13.714366,1781079133,1,2025-11-29 04:30:41,2026-06-10 08:12:17
4265,407e4e7a-d48e-4178-897f-29d45f4be04f,mercedes-benz,a-200,Mercedes-Benz A 200A 200 AMG-Line Multi+Kamera+AHK+Ambi AMG Line Navi,,33990.0,9573,Benzin,04-2025,,,Händler,,2026-06-10T08:12:13.709985,1781079133,1,2026-01-17 04:37:00,2026-06-10 08:12:17
5390,e6006159-0a6f-4fb2-805a-ffa9413dcf82,mercedes-benz,a-200,Mercedes-Benz A 200A 200 d AMG-Line Multi+Kamera+Ambi AMG Line Navi,,35990.0,18202,Diesel,06-2025,,,Händler,,2026-06-10T08:12:13.710473,1781079133,1,2026-02-21 05:09:19,2026-06-10 08:12:17
6774,fb66a2c9-f0bd-4bd9-8e92-debdfc197660,mercedes-benz,a-200,Mercedes-Benz A 200A 200 CDI / d (176.008),,7999.0,250000,Diesel,03-2018,,,Privat,,2026-06-10T08:12:13.706063,1781079133,1,2026-04-17 06:07:54,2026-06-10 08:12:17
6878,33907f63-bf53-47a4-b168-216a0f003617,mercedes-benz,a-200,Mercedes-Benz A 200A 200 AMG-Line Multi+Kamera+MBUX+ AMG Line Navi,,33490.0,24143,Benzin,11-2024,,,Händler,,2026-06-10T08:12:13.708565,1781079133,1,2026-04-21 06:07:30,2026-06-10 08:12:17
6938,fcc6c499-9af6-42da-bafe-f5d26cf37f18,mercedes-benz,a-200,Mercedes-Benz A 2001.3 hatchback AMG EDITION,,33490.0,17600,Benzin,03-2025,,,Händler,,2026-06-10T08:12:13.709527,1781079133,1,2026-04-22 06:04:45,2026-06-10 08:12:17
6939,58408fa8-1508-4fab-9651-b4fb6928fa3d,mercedes-benz,a-200,Mercedes-Benz A 2001.3 hatchback AMG EDITION,,34990.0,2700,2,07-2025,,,Händler,,2026-06-10T08:12:13.709032,1781079133,1,2026-04-22 06:04:45,2026-06-10 08:12:17
6941,5a5f59a5-bd24-4369-8330-a0c107b2535b,mercedes-benz,a-200,Mercedes-Benz A 2001.3 hatchback AMG EDITION,,34990.0,10700,2,07-2025,,,Händler,,2026-06-10T08:12:13.713408,1781079133,1,2026-04-22 06:04:45,2026-06-10 08:12:17
7307,b5c318da-df10-40f1-9992-4bf69ca947f2,mercedes-benz,a-200,Mercedes-Benz A 200163CV AMG LINE  * GARANTIE CONSTRUCTEUR *,,35490.0,10285,Benzin,08-2025,,,Händler,,2026-06-10T08:12:13.706600,1781079133,1,2026-05-07 06:43:51,2026-06-10 08:12:17
7347,874faca9-5e6e-4061-910f-70f64a5331d9,mercedes-benz,a-200,Mercedes-Benz A 200A 200 Kompaktlimousine  AMG Line Navi/Pano.-Dach,,44990.0,3828,Benzin,01-2026,,,Händler,,2026-06-10T08:12:13.713876,1781079133,1,2026-05-08 06:03:19,2026-06-10 08:12:17
7539,70943c84-e6b4-4dee-b839-fd25d61c1b60,mercedes-benz,a-200,"Mercedes-Benz A 200A 200 d AMG-Line Multi+Kamera+Night+19"" AMG Line",,36790.0,8870,Diesel,06-2025,,,Händler,,2026-06-10T08:12:13.708066,1781079133,1,2026-05-17 06:49:01,2026-06-10 08:12:17
7574,5b4d4b7a-b1d9-4d46-bb74-df348ee97d97,mercedes-benz,a-200,"Mercedes-Benz A 200A 200 d AMG-Line Multi+Kamera+Night+19"" AMG Line",,36990.0,20675,Diesel,04-2025,,,Händler,,2026-06-10T08:12:13.712425,1781079133,1,2026-05-19 07:52:42,2026-06-10 08:12:17
7748,08cce643-4f00-4919-b4fd-131a5c8d077f,mercedes-benz,a-200,"Mercedes-Benz A 200A 200 AMG-Line Multi+Kamera+Distr+Night+19"" Navi",,36990.0,11632,Benzin,10-2025,,,Händler,,2026-06-10T08:12:13.707595,1781079133,1,2026-05-22 07:50:25,2026-06-10 08:12:17
7749,59509548-cbe9-440f-adee-cfcd3244c455,mercedes-benz,a-200,"Mercedes-Benz A 200A 200 d AMG-Line Multi+Kamera+Distr+Night+19"" Navi",,36990.0,7819,Diesel,09-2025,,,Händler,,2026-06-10T08:12:13.712897,1781079133,1,2026-05-22 07:50:25,2026-06-10 08:12:17
7784,1a58f044-390c-4b9c-a5b0-bf9888d8aba7,mercedes-benz,a-200,"Mercedes-Benz A 200A 200 d AMG-Line Multi+Kamera+Night+19"" AMG Line",,37990.0,9224,Diesel,08-2025,,,Händler,,2026-06-10T08:12:13.711456,1781079133,1,2026-05-23 06:39:17,2026-06-10 08:12:17
7840,aaa42faa-3f6c-4f0c-b5fb-5c7f77c39d50,mercedes-benz,a-200,Mercedes-Benz A 200A 200 7G-DCT AMG Line,,29000.0,74000,Benzin,07-2019,,,Privat,,2026-06-10T08:12:13.714834,1781079133,1,2026-05-25 08:25:26,2026-06-10 08:12:17
7934,ee057229-a7d9-4eb1-87a5-e47ab0fde928,mercedes-benz,a-200,Mercedes-Benz A 200d AMG Line 8G-DCT REGUL GPS CAM PARK APPLE CARPLAY,,35780.0,15,Diesel,03-2025,,,Händler,,2026-06-10T08:12:13.711924,1781079133,1,2026-05-30 06:51:51,2026-06-10 08:12:17
7991,11c59313-f24b-4e06-8017-5e34c4417ca2,mercedes-benz,a-200,Mercedes-Benz A 200A 200d* PANO*LED*AMBIANCE*AMG*RFK*NIGHT PAKET,,25155.0,122000,Diesel,03-2022,,,Händler,,2026-06-10T08:12:13.705363,1781079133,1,2026-06-02 08:41:41,2026-06-10 08:12:17
7992,21cac78e-047f-4d58-857f-b846d5991840,mercedes-benz,a-200,Mercedes-Benz A 200d Progressive 8G-DCT 1/2CUIR GPS CAM P.NIGHT 1° M.,,29980.0,22700,Diesel,02-2024,,,Händler,,2026-06-10T08:12:13.707070,1781079133,1,2026-06-02 08:41:41,2026-06-10 08:12:17
8162,be23ef03-0c48-45a3-8037-08030f44b744,mercedes-benz,a-200,"Mercedes-Benz A 200A 200 AMG-Line Multi+Kamera+Distr+Night+19"" Navi",,36690.0,7394,Benzin,08-2025,,,Händler,,2026-06-10T08:12:13.710933,1781079133,1,2026-06-09 07:56:15,2026-06-10 08:12:17
3909,6808f6ac-1c26-465f-a0ec-953eb3d5c498,mercedes-benz,a-200,Mercedes-Benz A 200AMG Line|KeyGo|MBeam|360grad Cam|Pano|Grantie 2ans,,34900.0,32000,Diesel,08-2023,,,Privat,,2026-06-10T08:12:09.672009,1781079129,1,2026-01-06 04:45:10,2026-06-10 08:12:17
4495,86b1edf2-4189-4e68-8369-f09a2bd10f45,mercedes-benz,a-200,Mercedes-Benz A 200Diesel Amg Line,,25300.0,107000,Diesel,09-2019,,,Privat,,2026-06-10T08:12:09.663738,1781079129,1,2026-01-24 04:40:19,2026-06-10 08:12:17
