id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
106,1fd104d9-a556-4c64-9b63-a2e1a0b653bc,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d T-Modell AMG-Line,,51990.0,23652,Diesel,04-2024,147 kW (200 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.638738,1762057779,1,2025-07-04 19:02:03,2025-11-02 04:29:43
114,5be22ef6-9788-457e-a710-a4ec4ef79714,mercedes-benz,c-220,Mercedes-Benz C 220(BlueTEC) d BlueEFFICIENCY Edition 7G-TRONIC,,16990.0,155000,Diesel,08-2014,120 kW (163 PS),,Händler,DS Lux AutoÉvaluation par étoiles 4.5 sur 5(1),2025-11-02T04:29:39.641466,1762057779,1,2025-07-04 19:02:03,2025-11-02 04:29:43
782,77b4a305-ca5c-4ae5-8049-842dcd3d56c0,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC T-Modell,,57990.0,27016,Diesel,03-2025,145 kW (197 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.640187,1762057779,1,2025-07-07 15:02:07,2025-11-02 04:29:43
1510,21e06a77-6120-4a33-a765-d30eaa72681e,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC,,63990.0,27894,Diesel,02-2025,147 kW (200 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.639921,1762057779,1,2025-08-26 04:30:29,2025-11-02 04:29:43
1964,3f9c1af9-bbf3-4b72-bc01-e224b4f32e35,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC T-Modell,,57690.0,31613,Diesel,06-2025,145 kW (197 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.640441,1762057779,1,2025-10-01 04:29:04,2025-11-02 04:29:43
1965,deca77b3-fa96-4c69-a9d6-cd655d51900e,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC T-Modell,,60990.0,13755,Diesel,04-2025,147 kW (200 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.640693,1762057779,1,2025-10-01 04:29:04,2025-11-02 04:29:43
1966,8d224c09-ba54-4291-a290-ee936abfbf63,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC T-Modell,,60990.0,18882,Diesel,05-2025,145 kW (197 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.639253,1762057779,1,2025-10-01 04:29:04,2025-11-02 04:29:43
1967,4a5da70e-136f-4bde-9ef7-e272450efafd,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC T-Modell,,61190.0,22248,Diesel,04-2025,147 kW (200 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.639630,1762057779,1,2025-10-01 04:29:04,2025-11-02 04:29:43
1968,8c06dc95-d6d2-490a-8820-64182d93a220,mercedes-benz,c-220,Mercedes-Benz C 220C 220 d 4MATIC T-Modell,,64590.0,18110,Diesel,04-2025,147 kW (200 PS),,Händler,Merbag S.A.Évaluation par étoiles 5 sur 5(5),2025-11-02T04:29:39.640970,1762057779,1,2025-10-01 04:29:04,2025-11-02 04:29:43
2392,13921391-4ef9-4292-867d-658fb217f770,mercedes-benz,c-220,Mercedes-Benz C 220Classe Break d Sportline,,11500.0,181500,Diesel,03-2018,125 kW (170 PS),,Privat,"Particuliers,LU-6315 Beaufort",2025-11-02T04:29:39.641225,1762057779,1,2025-10-30 04:29:58,2025-11-02 04:29:43
