id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
448,58eb6763-12a8-4906-b149-59ef593f21a0,volkswagen,golf,Volkswagen GolfGOLF LIMITED 1.5 TSI eHybrid 204 CV + Toit Ouvrant,,42490.0,50,2,new,110 kW (150 PS),,Händler,CarAdvise S.A.,2025-10-29T04:34:51.736705,1761712491,1,2025-07-04 19:24:52,2025-10-29 04:34:55
459,06075ad1-6326-493f-81b6-28af05af3f01,volkswagen,golf,Volkswagen GolfGTE 1.5TSI 177CV DSG6,,42900.0,3240,2,09-2024,130 kW (177 PS),,Händler,Cruciani Automobiles - VWÉvaluation par étoiles 5 sur 5(2),2025-10-29T04:34:51.735716,1761712491,1,2025-07-04 19:24:52,2025-10-29 04:34:55
460,d6b771bd-98a5-457d-8bda-8cd8f20d647f,volkswagen,golf,Volkswagen GolfGolf 1.6 Sport Edition,,1480.0,238000,Benzin,05-2001,77 kW (105 PS),,Privat,"Particuliers,LU-1919 Rodange",2025-10-29T04:34:51.737926,1761712491,1,2025-07-04 19:24:52,2025-10-29 04:34:55
461,a3391c23-bdba-4145-ad40-097aa44f77be,volkswagen,golf,Volkswagen GolfGolf 1.9 TDI Edition,,3250.0,270927,Diesel,05-2009,74 kW (101 PS),,Privat,"Particuliers,LU-9186 Stegen",2025-10-29T04:34:51.738665,1761712491,1,2025-07-04 19:24:52,2025-10-29 04:34:55
1044,332c241f-0bf5-41e4-81ae-0bfe02bd870b,volkswagen,golf,Volkswagen GolfGolf 1.6 Trendline,,2300.0,200000,Benzin,11-2003,55 kW (75 PS),,Privat,"Particuliers,LU-1412 Luxembourg",2025-10-29T04:34:51.736949,1761712491,1,2025-07-22 04:46:11,2025-10-29 04:34:55
1160,a02d4ccf-f5a0-44b2-a2aa-98b70f88f071,volkswagen,golf,Volkswagen GolfGolf 1.6 TDI 4Motion BlueMotion Technology,,6570.0,130000,Diesel,10-2012,77 kW (105 PS),,Privat,"Particuliers,LU-1000 Luxembourg-Ville",2025-10-29T04:34:51.738163,1761712491,1,2025-07-29 04:55:19,2025-10-29 04:34:55
1408,deb2f940-9dac-489f-934e-bf19ad99175b,volkswagen,golf,Volkswagen GolfGolf 1.6 Comfortline,,2000.0,213000,Benzin,05-2006,75 kW (102 PS),,Privat,"Particuliers,LU-5330 Moutfort",2025-10-29T04:34:51.738421,1761712491,1,2025-08-17 04:39:47,2025-10-29 04:34:55
2000,2ffdaef2-0957-4e4f-bf8f-683038236d6f,volkswagen,golf,Volkswagen GolfGolf 2.0 TDI DPF,,11000.0,138000,Diesel,08-2012,105 kW (143 PS),,Privat,"Particuliers,LU-3566 Dudelange",2025-10-29T04:34:51.737686,1761712491,1,2025-10-03 04:30:43,2025-10-29 04:34:55
2065,6db2dfc8-8ac1-4cb5-90de-6b08cb7b524d,volkswagen,golf,Volkswagen GolfGolf 1.5 eTSI Life OPF DSG,,16990.0,124584,Benzin,10-2020,110 kW (150 PS),,Privat,"Particuliers,LU-2630 Cents",2025-10-29T04:34:51.737448,1761712491,1,2025-10-08 04:31:21,2025-10-29 04:34:55
2260,19c936ff-fe0e-493c-bdc5-6da084c72b2c,volkswagen,golf,Volkswagen Golf1.6 TDI BlueMotion Technology DSG Cup,,11000.0,146000,Diesel,11-2014,81 kW (110 PS),,Privat,"Particuliers,LU-/ Differdange",2025-10-29T04:34:51.737192,1761712491,1,2025-10-20 04:33:17,2025-10-29 04:34:55
2283,e185991f-2f34-44fd-aa86-0d2503991aec,volkswagen,golf,Volkswagen GolfGolf Alltrack 1.8 TSI 4Motion (BMT) DSG,,8889.0,189311,Benzin,09-2017,132 kW (179 PS),,Privat,"Particuliers,LU-2090 Luxembourg",2025-10-29T04:34:51.736460,1761712491,1,2025-10-22 04:32:23,2025-10-29 04:34:55
2375,ed27ab7b-4a78-428e-bf0f-2a4041613c6f,volkswagen,golf,Volkswagen GolfGolf R 4Motion (BlueMotion Technology) DSG 320 CH,,14512.0,41000,Benzin,09-2021,80 kW (109 PS),,Privat,"Particuliers,LU-7759 Roost",2025-10-29T04:34:51.736134,1761712491,1,2025-10-28 04:32:22,2025-10-29 04:34:55
420,a8e92a34-2c08-4441-8c73-49bed0ebab9e,volkswagen,golf,Volkswagen GolfLife,,32900.0,15000,Diesel,02-2025,110 kW (150 PS),,Händler,Garage Martin Biver S.àr.l.,2025-10-29T04:34:47.207914,1761712487,1,2025-07-04 19:24:52,2025-10-29 04:34:55
440,7a5c196f-ebdf-4be4-92ff-48e409f91955,volkswagen,golf,Volkswagen GolfVII 1.4 TSi DSG Highline,,17850.0,83000,Benzin,10-2017,92 kW (125 PS),,Händler,CarLandÉvaluation par étoiles 5 sur 5(1),2025-10-29T04:34:47.209486,1761712487,1,2025-07-04 19:24:52,2025-10-29 04:34:55
992,edfb5dae-d8e0-4d61-9ffd-1e4b6a292485,volkswagen,golf,"Volkswagen GolfLIFE ""MOVE"" 2.0 TDI 150CV DSG7 ** Attelage *",,28990.0,14208,Diesel,04-2024,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.211961,1761712487,1,2025-07-18 04:47:38,2025-10-29 04:34:55
994,d2ad694c-7c43-4d44-b7dc-260f7d75bd75,volkswagen,golf,"Volkswagen GolfLIFE ""MOVE"" 2.0 TDI 150CV DSG7 ** Attelage *",,28990.0,23727,Diesel,05-2024,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.208974,1761712487,1,2025-07-18 04:47:38,2025-10-29 04:34:55
995,969c969b-e732-4c85-b3e1-69db0d2bd41b,volkswagen,golf,"Volkswagen GolfLIFE ""MOVE"" 2.0 TDI 150CV DSG7 ** Attelage *",,28990.0,20553,Diesel,05-2024,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.211726,1761712487,1,2025-07-18 04:47:38,2025-10-29 04:34:55
998,c85c6538-98bc-4227-b96f-ce762e897ee4,volkswagen,golf,"Volkswagen GolfLIFE ""MOVE"" 2.0 TDI 150CV DSG7 ** Attelage *",,29990.0,17424,Diesel,05-2024,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.212191,1761712487,1,2025-07-18 04:47:38,2025-10-29 04:34:55
999,fa36cef6-b19b-4641-b2e6-0a2fc5a70c4e,volkswagen,golf,"Volkswagen GolfLIFE ""MOVE"" 2.0 TDI 150CV DSG7 ** Attelage *",,29990.0,22000,Diesel,05-2024,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.210978,1761712487,1,2025-07-18 04:47:38,2025-10-29 04:34:55
1003,4bd77e19-18ab-4164-8ffc-37445187da62,volkswagen,golf,Volkswagen Golf8 phase 2 Life GOAL 2.0 TDI DSG7 150 CV ** A,,30990.0,12893,Diesel,09-2024,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.210234,1761712487,1,2025-07-18 04:47:38,2025-10-29 04:34:55
1172,43137282-a38b-4e68-a877-501ad8ffc440,volkswagen,golf,Volkswagen GolfGolf VIII R-Line,,38490.0,15,unknown,07-2025,110 kW (150 PS),,Händler,Autopolis BertrangeÉvaluation par étoiles 4.5 sur 5(4),2025-10-29T04:34:47.211210,1761712487,1,2025-07-30 04:53:41,2025-10-29 04:34:55
1543,c424f688-e71a-4d24-bcaa-6ac46ac4c900,volkswagen,golf,Volkswagen GolfGolf VIII R-Line,,38490.0,15,unknown,07-2025,110 kW (150 PS),,Händler,Autopolis NiederkornÉvaluation par étoiles 3.5 sur 5(2),2025-10-29T04:34:47.210490,1761712487,1,2025-08-28 04:31:56,2025-10-29 04:34:55
1767,597c83d0-7961-49bd-8112-657151a20b57,volkswagen,golf,Volkswagen Golf8 phase 2 Life GOAL 2.0 TDI DSG7 150 CV,,31990.0,6537,Diesel,01-2025,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.208217,1761712487,1,2025-09-24 04:30:43,2025-10-29 04:34:55
1777,b545f38b-0cf0-4b17-bfd5-7b5f83caa1ad,volkswagen,golf,Volkswagen Golf2.0 TSI VIII GTI Clubsport,,38990.0,27300,Benzin,04-2023,221 kW (300 PS),,Händler,Autopolis BertrangeÉvaluation par étoiles 4.5 sur 5(4),2025-10-29T04:34:47.207491,1761712487,1,2025-09-24 04:30:43,2025-10-29 04:34:55
1977,d1941cd7-463c-4878-b628-6f28fa4e20ef,volkswagen,golf,Volkswagen Golf8 phase 2 Life GOAL 2.0 TDI DSG7 150 CV,,31990.0,6425,Diesel,02-2025,110 kW (150 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.208735,1761712487,1,2025-10-01 04:31:10,2025-10-29 04:34:55
2009,a31247fd-2f37-4ac1-81b1-0ef20d5da9f1,volkswagen,golf,Volkswagen GolfGTI Clubsport 2.0 TSI 300CV DSG7 ** Harman ** Toit,,37990.0,22182,Benzin,07-2023,221 kW (300 PS),,Händler,Eurocar Diffusion,2025-10-29T04:34:47.209211,1761712487,1,2025-10-03 04:30:43,2025-10-29 04:34:55
